TH;Cod Comarca;Cod Municipio;Ámbito;Censo;Votantes;Nulos;Válidos;Blancos;Votos Candidatura;Abstención;PSE-PSOE;PP;PH;PCTE / ELAK;PACMA/ATTKAA;PUM+J;Cs;I.FEM;SAIn;FAC;VOX;M.C.R.;ALTER;PIRATAS;RECORTES CERO-GV;EAJ-PNV... (E19);CXE;EH BILDU... (E19);CONTIGO;ADÑ;AxSÍ;PACT;CPE;MIEL;IZQP;PCPE-PCPC-PCPA;PODEMOS-IU;JUNTS;IGRE;VOLT;CV-EC;CEX-CREX-PREX
Araba-Alava;"	01";"	059";VITORIA-GASTEIZ;190184;119287;798;118489;908;117581;70897;29360;16792;33;144;1265;154;5042;283;19;13;2784;12;196;110;368;25666;89;18267;163;19;25;76;126;49;57;153;14985;553;49;113;537;79
Araba-Alava;"	02";"	001";ALEGRÍA-DULANTZI;2016;1326;15;1311;25;1286;690;257;73;0;3;18;1;31;4;0;1;39;0;1;2;5;396;0;264;0;0;0;0;1;1;0;2;175;7;0;1;4;0
Araba-Alava;"	02";"	003";ARAMAIO;1176;835;2;833;4;829;341;26;1;0;0;3;0;0;2;0;0;5;0;0;0;0;243;0;491;0;0;0;0;0;0;0;1;50;6;0;0;1;0
Araba-Alava;"	02";"	006";ARMIÑÓN;176;124;2;122;3;119;52;19;17;0;0;2;0;6;1;0;0;9;0;0;0;0;29;0;11;0;0;0;0;1;0;0;0;24;0;0;0;0;0
Araba-Alava;"	02";"	008";ARRATZUA-UBARRUNDIA;803;531;2;529;4;525;272;75;43;1;1;1;1;22;2;0;0;12;0;1;0;1;194;0;120;0;2;0;0;0;0;0;0;45;3;0;0;1;0
Araba-Alava;"	02";"	009";ASPARRENA;1266;909;8;901;5;896;357;85;20;0;1;4;1;8;1;0;0;3;1;0;1;0;267;0;382;0;0;0;0;0;0;0;0;91;21;0;0;10;0
Araba-Alava;"	02";"	011";BAÑOS DE EBRO/MAÑUETA;228;196;5;191;5;186;32;34;66;0;0;0;0;7;1;0;0;3;0;0;0;0;64;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Araba-Alava;"	02";"	013";BARRUNDIA;712;474;5;469;1;468;238;47;23;0;0;6;0;3;1;0;0;0;0;1;0;2;152;0;181;0;0;0;0;3;0;0;0;40;8;0;0;1;0
Araba-Alava;"	02";"	014";BERANTEVILLA;371;299;8;291;5;286;72;45;41;1;0;1;0;16;0;0;0;7;0;1;1;0;115;0;26;0;0;0;0;1;0;0;0;29;0;0;0;2;0
Araba-Alava;"	02";"	016";BERNEDO;419;244;;244;7;237;175;25;27;0;1;4;0;5;0;0;0;1;0;0;0;0;103;0;51;0;0;0;0;0;0;0;0;17;1;0;0;2;0
Araba-Alava;"	02";"	017";CAMPEZO/KANPEZU;821;567;5;562;10;552;254;53;32;0;0;4;2;17;0;1;0;1;0;0;0;0;238;0;161;0;0;0;1;0;0;2;1;39;0;0;0;0;0
Araba-Alava;"	02";"	018";ZIGOITIA;1408;909;3;906;11;895;499;129;53;0;0;7;0;11;0;0;0;9;0;0;0;2;272;0;298;0;0;0;0;0;0;0;1;98;9;0;1;5;0
Araba-Alava;"	02";"	019";KRIPAN;149;114;1;113;;113;35;8;11;0;0;0;0;2;0;0;0;0;0;1;0;0;73;0;13;0;0;0;0;0;0;0;0;4;1;0;0;0;0
Araba-Alava;"	02";"	020";KUARTANGO;322;248;3;245;6;239;74;16;20;0;0;2;0;1;0;0;0;1;0;0;0;0;95;0;87;0;0;0;0;0;0;0;0;14;1;0;0;2;0
Araba-Alava;"	02";"	021";ELBURGO/BURGELU;470;317;1;316;2;314;153;45;33;0;0;2;0;14;2;0;0;10;0;1;0;0;125;0;53;0;0;0;0;1;0;0;0;21;3;0;0;4;0
Araba-Alava;"	02";"	022";ELCIEGO;771;607;12;595;17;578;164;157;121;4;0;8;2;18;0;0;0;3;6;1;0;3;148;2;35;0;0;0;0;4;1;10;0;47;5;1;0;1;1
Araba-Alava;"	02";"	023";ELVILLAR/BILAR;262;195;;195;3;192;67;23;35;0;0;0;0;6;0;0;0;2;0;0;0;0;83;0;28;0;0;0;0;0;0;0;0;15;0;0;0;0;0
Araba-Alava;"	02";"	027";IRURAIZ-GAUNA;433;295;;295;1;294;138;17;23;0;0;10;1;2;0;0;0;2;0;0;0;0;113;0;98;0;0;0;0;0;0;0;0;26;2;0;0;0;0
Araba-Alava;"	02";"	028";LABASTIDA/BASTIDA;1083;795;19;776;17;759;288;133;180;0;0;7;0;13;0;0;0;23;0;0;0;0;212;0;111;1;0;0;0;0;0;0;1;69;9;0;0;0;0
Araba-Alava;"	02";"	030";LAGRÁN;140;120;;120;1;119;20;21;27;0;0;0;0;0;0;0;0;1;0;0;0;2;40;0;14;0;0;0;1;0;0;0;0;13;0;0;0;0;0
Araba-Alava;"	02";"	031";LAGUARDIA;1169;953;48;905;28;877;216;124;213;0;0;11;1;33;0;0;0;22;0;0;0;3;252;0;159;0;0;0;0;0;0;0;1;49;4;0;1;4;0
Araba-Alava;"	02";"	032";LANCIEGO/LANTZIEGO;499;376;10;366;3;363;123;95;53;0;1;2;0;6;0;0;0;0;0;0;0;1;122;0;52;0;0;0;0;0;0;0;0;30;0;0;1;0;0
Araba-Alava;"	02";"	033";LAPUEBLA DE LABARCA;659;555;11;544;16;528;104;99;77;0;0;3;0;18;0;1;0;3;0;1;0;0;243;0;50;0;1;0;0;0;2;0;1;28;0;0;0;1;0
Araba-Alava;"	02";"	034";LEZA;155;117;;117;1;116;38;27;4;0;0;0;0;1;1;0;0;3;0;0;0;0;47;0;23;0;0;0;0;0;0;1;0;6;0;0;0;3;0
Araba-Alava;"	02";"	037";ARRAIA-MAEZTU;588;451;4;447;5;442;137;32;32;0;0;3;0;2;0;0;0;10;0;0;0;0;228;0;95;0;0;0;0;1;0;0;0;38;0;0;0;1;0
Araba-Alava;"	02";"	039";MOREDA DE ÁLAVA/MOREDA ARABA;196;158;3;155;;155;38;44;15;0;0;0;1;5;0;0;0;0;0;0;0;0;50;0;22;0;0;0;0;0;0;0;0;18;0;0;0;0;0
Araba-Alava;"	02";"	041";NAVARIDAS;153;122;3;119;;119;31;6;49;0;2;0;0;3;0;0;0;1;0;0;0;0;37;0;9;0;0;0;0;0;0;0;0;12;0;0;0;0;0
Araba-Alava;"	02";"	043";OYÓN-OION;2337;1543;19;1524;39;1485;794;398;212;0;2;10;1;76;3;0;0;38;1;2;0;1;314;0;250;2;0;0;0;0;0;2;5;156;3;0;1;8;0
Araba-Alava;"	02";"	044";PEÑACERRADA-URIZAHARRA;231;176;9;167;2;165;55;30;23;0;0;1;1;4;0;0;0;0;0;0;0;0;53;0;37;0;0;0;0;0;0;0;0;14;2;0;0;0;0
Araba-Alava;"	02";"	046";ERRIBERAGOITIA/RIBERA ALTA;636;465;1;464;9;455;171;66;40;0;0;11;0;18;0;0;0;8;0;0;0;0;197;0;68;0;0;0;0;1;0;0;0;45;1;0;0;0;0
Araba-Alava;"	02";"	047";RIBERA BAJA/ERRIBERA BEITIA;988;651;3;648;16;632;337;139;98;0;0;6;33;55;2;0;0;15;0;0;1;0;193;0;40;0;1;0;0;2;0;0;4;40;0;0;0;3;0
Araba-Alava;"	02";"	049";AÑANA;132;107;;107;1;106;25;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;26;0;0;0;0;0;0;0;0;8;1;1;1;1;0
Araba-Alava;"	02";"	051";AGURAIN/SALVATIERRA;3560;2379;12;2367;25;2342;1181;240;83;0;0;10;3;37;0;0;0;12;1;1;1;2;915;0;852;1;0;0;5;1;0;0;1;154;11;4;0;5;3
Araba-Alava;"	02";"	052";SAMANIEGO;271;196;1;195;1;194;75;47;4;0;2;1;0;1;0;0;0;1;0;0;0;0;79;0;45;0;0;0;0;0;0;0;0;14;0;0;0;0;0
Araba-Alava;"	02";"	053";SAN MILLÁN/DONEMILIAGA;592;387;2;385;4;381;205;32;16;0;0;2;1;6;1;0;0;2;0;0;0;0;147;0;141;0;0;0;1;0;0;0;1;31;0;0;0;0;0
Araba-Alava;"	02";"	054";URKABUSTAIZ;1019;759;5;754;8;746;260;64;21;0;1;8;0;7;1;0;0;3;0;1;0;1;245;0;310;0;0;0;0;0;0;0;1;76;4;1;0;1;1
Araba-Alava;"	02";"	055";VALDEGOVÍA/GAUBEA;846;567;14;553;11;542;279;72;70;0;1;7;0;16;1;0;0;5;0;0;0;0;211;0;110;0;0;0;0;0;0;0;0;41;3;0;0;5;0
Araba-Alava;"	02";"	056";HARANA/VALLE DE ARANA;204;155;2;153;;153;49;7;12;0;0;1;0;2;1;0;0;1;0;0;0;0;90;0;25;0;0;0;0;0;0;0;1;10;1;0;1;0;1
Araba-Alava;"	02";"	057";VILLABUENA DE ÁLAVA/ESKUERNAGA;242;215;1;214;3;211;27;13;13;0;0;3;0;4;1;0;0;6;0;0;0;0;98;0;69;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Araba-Alava;"	02";"	058";LEGUTIO;1401;840;4;836;8;828;561;104;21;1;0;10;0;17;1;0;0;5;0;0;0;1;259;0;320;0;0;0;0;0;0;0;1;80;6;0;1;1;0
Araba-Alava;"	02";"	060";YÉCORA/IEKORA;210;168;3;165;3;162;42;21;44;0;0;2;0;7;0;0;0;4;0;0;0;0;61;0;12;0;0;0;0;0;0;0;0;9;0;0;1;0;1
Araba-Alava;"	02";"	061";ZALDUONDO;153;129;1;128;2;126;24;12;0;0;0;2;0;3;0;0;0;0;0;0;0;0;37;0;62;0;0;0;0;0;0;0;0;8;0;0;0;1;1
Araba-Alava;"	02";"	062";ZAMBRANA;320;258;4;254;5;249;62;39;52;0;0;4;0;17;0;0;0;2;0;0;1;2;57;0;33;0;0;2;0;0;0;0;0;39;0;0;0;1;0
Araba-Alava;"	02";"	063";ZUIA;1839;1310;6;1304;15;1289;529;160;83;1;0;9;0;38;0;0;1;25;0;0;0;2;436;0;394;0;0;0;1;0;0;0;3;119;11;0;0;6;0
Araba-Alava;"	02";"	901";IRUÑA OKA/IRUÑA DE OCA;2486;1549;29;1520;27;1493;937;387;166;0;3;27;0;65;3;3;1;46;0;2;1;4;387;1;181;0;0;0;1;1;1;0;6;191;8;2;0;5;1
Araba-Alava;"	02";"	902";LANTARÓN;734;507;2;505;10;495;227;90;94;0;2;6;1;21;3;0;0;7;1;1;0;0;150;0;66;0;0;0;0;0;0;0;0;47;3;0;0;3;0
Araba-Alava;"	03";"	002";AMURRIO;8047;5753;57;5696;62;5634;2294;784;254;1;6;40;7;69;7;0;0;83;1;5;4;11;2220;3;1549;0;1;1;6;3;0;4;8;497;46;1;3;17;3
Araba-Alava;"	03";"	004";ARTZINIEGA;1354;999;12;987;11;976;355;106;83;0;1;7;0;21;3;0;0;7;0;0;1;0;392;0;252;0;0;0;1;0;0;0;3;90;6;1;0;2;0
Araba-Alava;"	03";"	010";AYALA/AIARA;2318;1678;14;1664;32;1632;640;142;65;0;0;8;1;16;3;0;0;21;0;1;2;4;805;1;409;1;0;0;1;0;0;0;1;140;5;2;1;2;1
Araba-Alava;"	03";"	036";LAUDIO/LLODIO;14748;9807;72;9734;74;9660;4941;1655;551;1;7;84;40;198;150;1;0;92;0;2;7;22;3390;1;2284;2;0;2;3;3;2;3;15;1068;46;1;2;26;2
Araba-Alava;"	03";"	042";OKONDO;912;766;12;754;8;746;146;32;13;0;0;4;0;11;0;0;0;6;0;0;0;1;416;0;198;0;0;0;0;0;0;0;0;61;4;0;0;0;0
Araba-Alava;"	99";"	999";MUNICIPIO CERA ARABA;6804;301;;301;1;300;6503;61;25;1;0;4;1;27;5;0;0;7;0;0;2;4;47;2;39;0;0;0;3;2;0;0;1;59;3;0;2;5;0
Bizkaia;"	01";"	020";BILBAO;273387;168162;574;167588;1242;166346;105225;32837;14729;51;81;1583;185;6112;253;28;55;2856;24;49;104;362;62418;264;22307;31;58;23;70;174;23;57;164;19958;696;34;149;576;35
Bizkaia;"	02";"	002";ABANTO Y CIÉRVANA-ABANTO ZIERBENA;7769;5355;36;5319;47;5272;2414;996;94;2;3;51;4;75;3;1;0;46;0;69;1;7;2134;3;904;0;2;0;6;1;1;1;3;844;8;1;0;12;0
Bizkaia;"	02";"	008";ARTZENTALES;614;456;10;446;7;439;158;20;3;0;0;2;0;5;0;0;0;0;0;0;0;0;255;0;108;0;0;0;1;0;0;0;2;36;5;1;0;1;0
Bizkaia;"	02";"	013";BARAKALDO;79482;49333;218;49115;320;48795;30149;14703;2991;19;55;509;53;1344;65;10;5;703;16;96;33;123;15047;93;5073;16;5;7;27;36;5;12;108;7383;86;18;32;112;10
Bizkaia;"	02";"	022";KARRANTZA HARANA/VALLE DE CARRANZA;2315;1834;20;1814;37;1777;481;170;34;0;0;16;1;19;0;0;2;19;0;0;0;1;1102;1;265;1;0;0;4;0;0;1;3;125;11;0;1;1;0
Bizkaia;"	02";"	037";GALDAMES;682;528;12;516;8;508;154;34;4;0;1;1;0;2;1;0;0;0;0;0;0;0;260;0;164;0;0;0;1;0;0;0;0;35;3;0;0;2;0
Bizkaia;"	02";"	042";GORDEXOLA;1358;1063;11;1052;14;1038;295;91;56;0;0;9;0;29;1;0;1;11;0;0;0;0;596;0;155;0;0;0;0;0;0;0;0;80;6;0;0;3;0
Bizkaia;"	02";"	045";GÜEÑES;5213;3853;41;3812;31;3781;1360;514;103;0;1;27;0;37;2;0;1;14;0;1;1;2;1741;1;954;1;1;0;0;4;0;2;2;356;6;0;2;7;1
Bizkaia;"	02";"	051";LANESTOSA;217;173;2;171;;171;44;12;0;0;0;1;0;5;0;0;0;0;0;0;0;5;89;0;35;1;0;0;0;0;0;0;0;21;2;0;0;0;0
Bizkaia;"	02";"	071";MUSKIZ;6046;4330;37;4293;42;4251;1716;990;84;1;1;25;3;44;5;0;1;24;2;0;2;4;1821;3;737;0;5;0;2;2;1;0;0;483;3;0;1;7;0
Bizkaia;"	02";"	078";PORTUGALETE;38015;24116;109;24007;191;23816;13899;7927;1499;7;24;198;18;544;25;4;2;243;1;10;10;26;6885;21;2815;13;11;11;7;11;1;16;17;3320;68;9;16;53;4
Bizkaia;"	02";"	080";VALLE DE TRÁPAGA-TRAPAGARAN;9949;6626;44;6582;43;6539;3323;1752;196;3;1;61;6;90;2;0;1;51;4;1;5;10;2359;0;1101;2;2;0;5;2;1;2;6;834;15;2;5;20;0
Bizkaia;"	02";"	082";SANTURTZI;37404;23735;125;23610;174;23436;13669;5826;1109;4;8;202;17;493;17;6;5;232;6;8;5;41;8372;4;3663;4;7;1;9;19;3;12;28;3258;25;12;8;28;4
Bizkaia;"	02";"	083";ORTUELLA;6952;4702;17;4685;37;4648;2250;1037;98;0;3;37;1;56;1;0;0;25;1;2;2;3;1769;0;685;0;2;0;1;2;0;1;9;900;5;1;2;4;1
Bizkaia;"	02";"	084";SESTAO;21847;13596;103;13493;106;13387;8251;3712;636;4;10;148;13;257;10;1;0;95;1;7;8;23;4574;8;1709;5;2;3;4;4;1;9;16;2073;23;3;4;17;7
Bizkaia;"	02";"	086";SOPUERTA;2024;1473;24;1449;29;1420;551;147;25;0;1;5;1;26;1;0;0;6;0;0;0;2;673;0;346;0;0;0;0;0;0;1;1;172;5;0;2;6;0
Bizkaia;"	02";"	087";TRUCIOS-TURTZIOZ;435;385;5;380;4;376;50;28;9;0;0;0;0;2;0;0;0;3;0;0;0;1;248;0;58;0;0;0;0;0;0;0;0;27;0;0;0;0;0
Bizkaia;"	02";"	090";BALMASEDA;6021;4442;68;4374;39;4335;1579;879;163;0;5;22;2;91;1;0;0;47;0;1;2;6;2045;2;636;0;0;0;1;3;0;1;2;398;18;0;0;9;1
Bizkaia;"	02";"	096";ZALLA;6563;5059;62;4997;47;4950;1504;666;105;6;4;38;6;82;6;4;0;31;0;1;2;5;2725;2;730;2;3;0;2;0;0;2;5;494;10;1;4;13;1
Bizkaia;"	02";"	912";ALONSOTEGI;2328;1726;12;1714;13;1701;602;222;34;0;2;7;1;25;1;0;0;10;0;1;2;2;744;1;472;0;3;0;1;1;0;0;1;166;1;0;3;1;0
Bizkaia;"	02";"	913";ZIERBENA;1226;899;9;890;8;882;327;64;13;0;0;3;0;12;1;0;0;3;0;0;0;1;486;0;220;0;0;0;0;0;0;0;0;69;8;0;0;1;1
Bizkaia;"	03";"	001";ABADIÑO;5900;4045;26;4019;51;3968;1855;643;155;3;1;38;2;98;5;0;0;35;0;0;0;6;1267;0;1278;1;1;0;2;2;2;1;1;403;10;0;1;11;2
Bizkaia;"	03";"	003";AMOREBIETA-ETXANO;14628;10144;61;10083;70;10013;4484;1199;202;1;1;72;5;135;7;0;1;47;4;10;2;28;4381;5;2831;0;0;1;1;10;5;3;19;1001;25;4;0;11;2
Bizkaia;"	03";"	005";ARAKALDO;112;88;1;87;7;80;24;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;35;0;30;0;0;0;0;0;0;0;0;7;1;0;0;0;0
Bizkaia;"	03";"	006";ARANTZAZU;312;267;1;266;3;263;45;5;0;0;1;1;0;1;0;0;0;0;0;0;0;0;119;0;123;0;0;0;0;0;0;0;0;11;1;0;0;1;0
Bizkaia;"	03";"	009";ARRANKUDIAGA;769;651;1;650;4;646;118;18;7;0;0;4;0;9;0;0;0;2;0;0;0;0;297;0;286;0;0;0;0;0;0;0;0;22;1;0;0;0;0
Bizkaia;"	03";"	011";ARRIGORRIAGA;9659;6277;33;6244;59;6185;3382;1064;193;3;2;77;5;139;7;0;0;36;0;0;2;5;2269;3;1548;3;1;0;2;2;1;0;7;766;28;4;2;16;0
